,TICKNUMB,MUSIC,DAY1,DAY2,DAY3,CHANGE
1,2111,2,2.65,1.35,1.61,-1.04
2,2229,3,0.97,1.41,0.29,-0.68
3,2338,4,0.84,NA,NA,NA
4,2384,3,3.03,NA,NA,NA
5,2401,4,0.88,0.08,NA,NA
6,2405,3,0.85,NA,NA,NA
7,2467,1,1.56,NA,NA,NA
8,2478,1,3.02,NA,NA,NA
9,2490,3,2.29,NA,NA,NA
10,2504,4,1.11,0.44,0.55,-0.56
11,2509,4,2.17,NA,NA,NA
12,2510,3,0.82,0.2,0.47,-0.35
13,2514,2,1.41,NA,NA,NA
14,2515,4,1.76,1.64,1.58,-0.18
15,2520,4,1.38,0.02,NA,NA
16,2521,3,2.79,NA,NA,NA
17,2529,3,1.5,NA,NA,NA
18,2533,2,1.91,2.05,NA,NA
19,2535,2,2.32,NA,NA,NA
20,2538,4,2.05,NA,NA,NA
21,2549,3,2.17,0.7,0.76,-1.41
22,2551,4,2.05,NA,NA,NA
23,2558,4,1.61,NA,NA,NA
24,2562,4,1.66,0.85,NA,NA
25,2565,1,2.3,NA,NA,NA
26,2566,4,2.76,NA,NA,NA
27,2568,3,1.44,NA,NA,NA
28,2586,2,1.06,NA,NA,NA
29,2601,3,3.23,NA,NA,NA
30,2602,1,0.97,0.38,0.76,-0.21
31,2604,3,2.57,0.11,0.02,-2.55
32,2606,3,0.26,NA,NA,NA
33,2609,3,0.47,NA,NA,NA
34,2611,4,1.73,NA,NA,NA
35,2612,4,1.94,0.82,1.67,-0.27
36,2616,3,1.91,NA,NA,NA
37,2624,4,2.08,0.91,0.96,-1.12
38,2633,3,1.91,NA,NA,NA
39,2642,4,1.42,NA,NA,NA
40,2644,4,1.5,NA,NA,NA
41,2662,2,0.11,NA,NA,NA
42,2663,3,1.67,NA,NA,NA
43,2664,4,2.08,NA,NA,NA
44,2669,4,2.05,NA,NA,NA
45,2670,2,2,NA,NA,NA
46,2675,4,1.52,NA,NA,NA
47,2676,2,1.58,NA,NA,NA
48,2677,1,1.28,0.38,0.14,-1.14
49,2681,4,1.88,NA,NA,NA
50,2685,4,1.32,NA,NA,NA
51,2686,4,2.09,NA,NA,NA
